id,latitude,longitude,brightness,frp,confidence,acquisition_time,source,true_class_demo_only
TG-1017,20.95611,85.2288,352.3,210.1,75.5,2026-09-05T14:07:00Z,VIIRS,Industrial Fire
TG-1029,22.35012,82.7255,385.1,644.0,90.0,2026-09-06T22:19:00Z,VIIRS,Industrial Fire
TG-1127,11.55099,76.99332,321.1,75.7,57.4,2026-09-08T09:00:00Z,MODIS,Natural / Forest Fire
TG-1035,21.09685,72.62456,346.1,614.5,93.0,2026-08-25T13:01:00Z,MODIS,Industrial Fire
TG-1146,27.55019,88.59064,355.1,55.7,77.1,2026-08-31T11:00:00Z,VIIRS,Natural / Forest Fire
TG-1166,26.83721,80.80575,327.2,57.1,46.3,2026-09-01T05:00:00Z,VIIRS,Agricultural Fire
TG-1048,17.59436,73.19889,410.2,467.9,91.5,2026-09-08T10:48:00Z,MODIS,Industrial Fire
TG-1112,17.6871,83.21844,347.1,58.5,80.4,2026-08-22T18:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1175,17.55282,82.99121,291.0,11.5,45.5,2026-08-27T03:00:00Z,VIIRS,Other / Unknown
TG-1020,20.94912,85.23233,390.6,642.6,77.3,2026-09-03T23:03:00Z,MODIS,Industrial Fire
TG-1073,11.60823,79.47631,355.4,75.7,84.7,2026-08-20T14:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1170,26.93019,80.79138,303.1,23.3,48.6,2026-09-08T11:00:00Z,MODIS,Agricultural Fire
TG-1178,24.02815,84.19081,301.6,15.5,34.7,2026-09-06T17:00:00Z,VIIRS,Other / Unknown
TG-1085,24.19944,82.67863,331.9,123.8,73.0,2026-08-22T09:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1067,20.83763,85.09903,321.5,126.6,77.9,2026-08-22T08:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1030,22.36255,82.77423,340.4,230.3,87.7,2026-08-23T04:16:00Z,MODIS,Industrial Fire
TG-1158,29.02295,76.04198,312.4,12.2,52.9,2026-09-04T06:00:00Z,MODIS,Agricultural Fire
TG-1137,19.0318,82.11335,310.3,114.5,66.1,2026-08-20T10:00:00Z,MODIS,Natural / Forest Fire
TG-1156,30.55533,76.77169,337.0,45.0,63.1,2026-09-04T09:00:00Z,VIIRS,Agricultural Fire
TG-1114,17.69,83.21334,355.1,117.4,71.5,2026-08-26T17:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1183,27.95338,80.36204,296.5,37.7,36.8,2026-08-29T05:00:00Z,MODIS,Other / Unknown
TG-1043,9.97875,76.27622,382.2,487.7,85.7,2026-08-26T13:50:00Z,MODIS,Industrial Fire
TG-1100,9.96908,76.28104,332.1,81.5,84.7,2026-08-27T02:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1092,24.19514,82.68188,359.4,135.1,86.3,2026-09-07T12:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1080,11.60481,79.47397,351.1,109.1,89.1,2026-08-27T21:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1033,23.74597,86.41575,405.1,453.8,78.4,2026-08-24T17:02:00Z,VIIRS,Industrial Fire
TG-1039,22.2612,84.85232,418.6,234.4,95.7,2026-08-30T13:38:00Z,VIIRS,Industrial Fire
TG-1126,11.44829,76.72213,307.3,52.1,73.3,2026-08-30T21:00:00Z,MODIS,Natural / Forest Fire
TG-1180,21.29651,77.37822,314.5,8.0,39.3,2026-09-06T04:00:00Z,MODIS,Other / Unknown
TG-1049,17.58656,73.19379,397.7,574.7,81.4,2026-09-04T14:16:00Z,MODIS,Industrial Fire
TG-1055,20.84817,85.07914,371.6,203.6,83.7,2026-09-02T04:55:00Z,VIIRS,Industrial Fire
TG-1144,27.73995,88.62105,354.5,75.0,56.6,2026-08-21T14:00:00Z,MODIS,Natural / Forest Fire
TG-1022,20.83076,86.93526,405.2,635.4,96.3,2026-08-21T20:34:00Z,VIIRS,Industrial Fire
TG-1108,22.35686,69.8286,349.5,41.7,83.4,2026-08-30T02:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1024,20.822,86.93952,373.8,269.3,80.0,2026-09-06T21:45:00Z,VIIRS,Industrial Fire
TG-1026,20.27383,86.59766,382.1,198.7,76.9,2026-08-23T18:15:00Z,MODIS,Industrial Fire
TG-1072,20.83792,85.09675,317.5,107.5,77.6,2026-08-26T04:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1009,21.71974,72.56655,397.0,433.3,92.2,2026-08-28T04:15:00Z,MODIS,Industrial Fire
TG-1163,29.04749,76.10789,338.9,11.5,63.4,2026-08-31T09:00:00Z,VIIRS,Agricultural Fire
TG-1133,19.07879,82.28504,340.7,77.3,68.4,2026-08-23T09:00:00Z,MODIS,Natural / Forest Fire
TG-1181,20.6167,85.38329,295.0,16.1,32.2,2026-09-07T02:00:00Z,MODIS,Other / Unknown
TG-1102,9.9671,76.28042,358.9,119.0,76.9,2026-09-07T00:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1176,14.28264,75.2058,329.9,15.0,57.5,2026-09-03T06:00:00Z,MODIS,Other / Unknown
TG-1036,21.14075,72.67052,393.1,359.8,75.9,2026-08-28T05:50:00Z,MODIS,Industrial Fire
TG-1058,20.82411,85.11845,399.0,258.9,89.0,2026-09-03T22:16:00Z,VIIRS,Industrial Fire
TG-1097,9.96633,76.28113,326.2,46.7,79.0,2026-08-24T01:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1123,11.18284,76.78623,351.9,60.2,81.1,2026-09-06T23:00:00Z,MODIS,Natural / Forest Fire
TG-1010,21.69773,72.54743,338.2,202.1,77.5,2026-08-24T16:31:00Z,VIIRS,Industrial Fire
TG-1086,24.19914,82.67927,330.4,67.0,91.0,2026-08-23T17:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1153,30.58063,76.734,322.5,47.1,72.4,2026-09-02T08:00:00Z,VIIRS,Agricultural Fire
TG-1109,22.35327,69.82826,329.1,116.6,79.3,2026-09-01T18:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1090,24.19924,82.68243,332.3,98.1,78.3,2026-09-03T04:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1076,11.60638,79.4743,344.4,150.9,89.7,2026-08-26T02:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1006,23.66207,86.14416,393.2,501.3,76.6,2026-08-26T21:17:00Z,VIIRS,Industrial Fire
TG-1177,12.80428,72.71457,296.9,30.0,59.9,2026-08-22T14:00:00Z,MODIS,Other / Unknown
TG-1052,24.2088,82.69274,372.9,623.1,81.9,2026-08-20T18:24:00Z,MODIS,Industrial Fire
TG-1047,17.56524,73.18624,380.2,611.2,77.8,2026-09-05T14:03:00Z,VIIRS,Industrial Fire
TG-1138,19.12613,82.28265,331.4,56.6,60.9,2026-09-07T12:00:00Z,MODIS,Natural / Forest Fire
TG-1018,20.92542,85.24367,411.5,584.0,76.6,2026-08-21T07:04:00Z,VIIRS,Industrial Fire
TG-1056,20.83354,85.1151,405.1,401.0,92.2,2026-08-28T13:16:00Z,VIIRS,Industrial Fire
TG-1014,24.11037,82.6439,374.0,232.6,83.3,2026-08-20T19:20:00Z,MODIS,Industrial Fire
TG-1002,22.34776,69.82627,388.5,436.1,80.1,2026-09-06T06:45:00Z,MODIS,Industrial Fire
TG-1130,26.19311,91.79602,308.5,81.5,51.1,2026-09-01T02:00:00Z,VIIRS,Natural / Forest Fire
TG-1179,27.04871,80.17511,321.7,13.3,44.8,2026-08-23T06:00:00Z,MODIS,Other / Unknown
TG-1061,25.74983,71.392,331.1,377.4,86.3,2026-09-05T20:21:00Z,MODIS,Industrial Fire
TG-1084,24.19883,82.68067,319.4,83.4,88.9,2026-08-22T01:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1154,30.68432,76.85874,303.7,43.3,65.0,2026-09-06T11:00:00Z,MODIS,Agricultural Fire
TG-1101,9.96781,76.27971,360.0,142.4,72.7,2026-09-05T06:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1143,15.13326,74.24829,351.9,104.8,71.5,2026-08-22T20:00:00Z,MODIS,Natural / Forest Fire
TG-1091,24.19761,82.67934,321.9,86.0,91.4,2026-08-28T22:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1125,11.39675,76.48133,325.9,93.2,63.0,2026-08-22T02:00:00Z,VIIRS,Natural / Forest Fire
TG-1046,17.58807,73.15548,352.0,488.3,75.1,2026-09-01T15:25:00Z,VIIRS,Industrial Fire
TG-1164,29.0529,76.11242,328.6,26.6,47.4,2026-09-04T07:00:00Z,VIIRS,Agricultural Fire
TG-1135,18.9725,82.31929,307.8,70.9,58.1,2026-09-02T05:00:00Z,MODIS,Natural / Forest Fire
TG-1031,23.75093,86.39795,352.6,606.8,76.2,2026-08-28T16:31:00Z,MODIS,Industrial Fire
TG-1059,25.7214,71.35895,411.7,356.4,96.7,2026-08-29T18:43:00Z,VIIRS,Industrial Fire
TG-1065,11.62488,79.4576,337.7,518.4,86.2,2026-08-20T16:12:00Z,VIIRS,Industrial Fire
TG-1051,24.18747,82.66737,378.8,375.4,79.8,2026-09-02T13:21:00Z,MODIS,Industrial Fire
TG-1172,26.8278,80.98672,325.2,29.1,63.0,2026-08-30T05:00:00Z,VIIRS,Agricultural Fire
TG-1003,17.66544,83.21364,416.1,338.2,77.1,2026-08-28T04:13:00Z,VIIRS,Industrial Fire
TG-1139,15.1998,74.12714,330.6,110.1,62.2,2026-08-23T16:00:00Z,VIIRS,Natural / Forest Fire
TG-1182,24.32262,76.8903,313.5,31.9,33.9,2026-09-06T20:00:00Z,VIIRS,Other / Unknown
TG-1106,22.35425,69.82925,355.7,153.3,94.2,2026-08-23T08:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1060,25.75422,71.39752,357.1,501.6,93.5,2026-08-23T22:49:00Z,VIIRS,Industrial Fire
TG-1066,20.83736,85.0998,336.5,91.1,88.6,2026-08-20T17:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1162,29.05873,76.09939,305.9,15.5,60.0,2026-09-07T09:00:00Z,MODIS,Agricultural Fire
TG-1115,17.68601,83.21347,343.1,117.0,84.9,2026-08-28T02:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1098,9.96454,76.28016,318.8,113.1,79.6,2026-08-25T05:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1025,20.23757,86.61621,335.1,418.7,94.6,2026-09-05T16:10:00Z,VIIRS,Industrial Fire
TG-1150,27.49493,88.44353,310.8,37.5,83.2,2026-08-31T09:00:00Z,MODIS,Natural / Forest Fire
TG-1093,9.96946,76.27896,315.0,149.3,70.4,2026-08-20T14:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1074,11.60648,79.47633,341.3,71.8,72.0,2026-08-21T06:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1042,9.95938,76.26995,391.0,604.3,89.2,2026-09-02T21:24:00Z,MODIS,Industrial Fire
TG-1105,22.3516,69.82554,320.0,134.4,91.9,2026-08-24T05:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1173,26.69293,80.99251,300.7,20.3,67.6,2026-09-06T05:00:00Z,MODIS,Agricultural Fire
TG-1129,26.23316,91.88144,316.4,95.1,82.3,2026-08-20T05:00:00Z,MODIS,Natural / Forest Fire
TG-1121,30.27051,77.78765,354.0,48.8,55.2,2026-09-03T02:00:00Z,VIIRS,Natural / Forest Fire
TG-1131,26.14324,91.67777,319.5,113.8,70.9,2026-08-29T23:00:00Z,VIIRS,Natural / Forest Fire
TG-1168,26.73925,80.89645,324.5,22.2,73.0,2026-08-30T11:00:00Z,MODIS,Agricultural Fire
TG-1079,11.60765,79.47556,312.0,91.8,78.1,2026-08-26T19:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1111,17.69055,83.21457,314.9,146.5,73.4,2026-08-20T03:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1050,17.5714,73.1444,360.2,599.7,76.9,2026-08-29T07:17:00Z,VIIRS,Industrial Fire
TG-1122,11.45146,76.79754,331.8,62.6,71.2,2026-09-01T19:00:00Z,VIIRS,Natural / Forest Fire
TG-1038,22.2607,84.85934,340.4,636.1,79.1,2026-09-06T10:01:00Z,MODIS,Industrial Fire
TG-1007,23.65762,86.14937,380.1,501.8,94.4,2026-08-28T20:44:00Z,VIIRS,Industrial Fire
TG-1013,21.72576,72.56861,405.8,418.6,79.6,2026-08-23T20:19:00Z,MODIS,Industrial Fire
TG-1184,28.30241,75.01211,295.0,15.6,46.0,2026-09-06T08:00:00Z,VIIRS,Other / Unknown
TG-1064,11.61855,79.46577,373.9,346.8,80.9,2026-09-04T10:11:00Z,MODIS,Industrial Fire
TG-1116,17.68517,83.21474,320.3,139.6,83.9,2026-08-25T18:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1069,20.84052,85.09809,325.1,125.0,73.2,2026-08-26T05:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1032,23.70875,86.40177,344.5,387.7,91.2,2026-08-24T20:16:00Z,VIIRS,Industrial Fire
TG-1120,30.21215,78.07534,327.5,116.2,52.1,2026-09-05T09:00:00Z,MODIS,Natural / Forest Fire
TG-1062,11.62797,79.48478,377.0,485.7,89.2,2026-09-02T05:46:00Z,MODIS,Industrial Fire
TG-1141,15.32367,74.15438,338.1,80.6,80.2,2026-09-07T20:00:00Z,MODIS,Natural / Forest Fire
TG-1028,22.36024,82.75048,349.2,304.6,96.5,2026-08-23T02:34:00Z,VIIRS,Industrial Fire
TG-1132,26.20624,91.70515,326.6,59.5,71.2,2026-08-22T08:00:00Z,MODIS,Natural / Forest Fire
TG-1095,9.96757,76.28208,341.3,146.5,82.2,2026-08-24T10:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1034,23.73864,86.41681,391.4,493.5,83.1,2026-08-21T11:13:00Z,MODIS,Industrial Fire
TG-1103,22.35571,69.82515,341.8,114.5,86.9,2026-08-20T07:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1089,24.20006,82.67907,356.7,100.9,90.5,2026-09-01T10:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1082,11.60747,79.47505,315.2,59.3,80.3,2026-09-07T21:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1081,11.60747,79.47651,359.8,92.3,90.4,2026-09-05T05:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1037,21.12373,72.64912,332.1,270.8,82.6,2026-08-29T07:14:00Z,VIIRS,Industrial Fire
TG-1088,24.19989,82.68329,337.6,86.0,93.0,2026-08-25T14:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1053,24.2311,82.67154,349.8,283.1,85.0,2026-09-06T19:57:00Z,VIIRS,Industrial Fire
TG-1119,30.22708,78.08049,344.7,65.0,77.2,2026-09-05T03:00:00Z,VIIRS,Natural / Forest Fire
TG-1157,30.77382,76.74441,332.4,12.8,76.9,2026-09-07T06:00:00Z,MODIS,Agricultural Fire
TG-1171,26.78679,80.97797,326.0,26.3,46.5,2026-09-05T06:00:00Z,MODIS,Agricultural Fire
TG-1113,17.68987,83.21643,344.5,66.1,81.1,2026-08-24T01:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1041,22.26216,84.85178,341.2,603.0,86.7,2026-08-30T21:54:00Z,MODIS,Industrial Fire
TG-1016,24.09713,82.64325,384.6,633.3,96.4,2026-08-28T16:55:00Z,VIIRS,Industrial Fire
TG-1019,20.94961,85.23434,351.9,402.3,84.4,2026-09-07T18:30:00Z,VIIRS,Industrial Fire
TG-1117,30.21183,78.15115,351.5,30.2,54.5,2026-08-20T08:00:00Z,MODIS,Natural / Forest Fire
TG-1077,11.6072,79.47587,351.3,48.6,74.1,2026-08-24T08:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1104,22.35483,69.82919,349.4,44.0,79.1,2026-08-21T09:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1063,11.62361,79.47745,414.1,311.1,85.4,2026-08-30T07:53:00Z,MODIS,Industrial Fire
TG-1124,11.39609,76.6695,325.6,84.8,63.1,2026-08-23T10:00:00Z,VIIRS,Natural / Forest Fire
TG-1078,11.60822,79.47755,316.2,122.6,87.5,2026-08-30T14:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1075,11.60569,79.47305,332.5,111.3,77.3,2026-08-22T13:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1140,15.21485,74.05169,345.6,83.8,56.2,2026-09-08T04:00:00Z,MODIS,Natural / Forest Fire
TG-1161,29.04142,76.06929,313.9,49.3,61.0,2026-08-30T06:00:00Z,VIIRS,Agricultural Fire
TG-1128,26.0649,91.8249,334.4,99.8,79.6,2026-08-23T08:00:00Z,VIIRS,Natural / Forest Fire
TG-1174,26.85978,80.96664,311.7,47.7,65.1,2026-09-06T07:00:00Z,MODIS,Agricultural Fire
TG-1159,29.20172,76.14879,296.7,55.7,61.5,2026-09-01T06:00:00Z,VIIRS,Agricultural Fire
TG-1107,22.35554,69.8258,358.1,56.9,94.2,2026-08-24T14:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1147,27.6195,88.2573,340.7,44.8,75.3,2026-08-23T17:00:00Z,VIIRS,Natural / Forest Fire
TG-1054,20.84552,85.09705,341.5,472.5,75.6,2026-08-25T14:58:00Z,MODIS,Industrial Fire
TG-1167,26.83043,80.9214,312.9,50.4,61.6,2026-09-03T09:00:00Z,VIIRS,Agricultural Fire
TG-1068,20.83667,85.10074,339.5,131.2,84.9,2026-08-24T23:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1148,27.55782,88.40462,358.1,88.3,63.7,2026-08-31T09:00:00Z,VIIRS,Natural / Forest Fire
TG-1165,29.10234,76.17776,297.0,36.4,73.5,2026-09-04T06:00:00Z,VIIRS,Agricultural Fire
TG-1012,21.6832,72.58987,340.0,384.3,85.4,2026-08-28T20:21:00Z,MODIS,Industrial Fire
TG-1021,20.79094,86.91297,368.0,310.9,80.7,2026-09-06T14:08:00Z,VIIRS,Industrial Fire
TG-1008,23.65867,86.14691,412.2,446.6,91.5,2026-08-28T02:13:00Z,VIIRS,Industrial Fire
TG-1011,21.70002,72.53951,377.6,636.4,94.8,2026-09-01T19:29:00Z,VIIRS,Industrial Fire
TG-1145,27.71877,88.49212,305.1,82.8,51.4,2026-08-30T22:00:00Z,MODIS,Natural / Forest Fire
TG-1087,24.19765,82.67811,356.6,75.0,87.6,2026-08-24T15:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1155,30.68373,76.75257,338.5,50.5,73.0,2026-09-07T08:00:00Z,VIIRS,Agricultural Fire
TG-1160,29.04798,76.12599,306.5,51.4,64.2,2026-08-31T05:00:00Z,MODIS,Agricultural Fire
TG-1169,26.94506,81.10573,338.8,33.8,62.4,2026-09-05T07:00:00Z,MODIS,Agricultural Fire
TG-1044,9.96733,76.29989,355.5,492.0,89.2,2026-08-25T21:05:00Z,VIIRS,Industrial Fire
TG-1040,22.26555,84.84131,414.6,526.4,79.5,2026-09-06T21:46:00Z,MODIS,Industrial Fire
TG-1149,27.49785,88.59533,342.2,114.4,84.9,2026-08-24T21:00:00Z,VIIRS,Natural / Forest Fire
TG-1152,30.85,76.81599,301.9,17.4,69.2,2026-09-08T08:00:00Z,VIIRS,Agricultural Fire
